Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.06405754959371E-05,3.96062265211189E-05,-0.159587611333419,0,0,0,0.349525984991482,0.000258629195167638,-5.1087500114823E-10,-9.72936642266465E-09,0.000258276357567582,-1.14928164144306E-08,0.000395519919318191,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/base_link.STL,,DM8009-大yaw-1,XYZ0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1_double8009,-0.0476499931132019,-0.0261644185287386,-0.00790164285412111,0,0,0,1.22525961510696,0.00126118311285525,-9.13199961592546E-06,-4.17187198967547E-07,0.00132467695230876,-1.19448129551957E-06,0.00217005077700242,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link1_double8009.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link1_double8009.STL,,0-1,XYZ1,z0,joint_1,revolute,0.03215,0,0,1.5708,0,0,base_link,0,1,0,20,10.47,-3.14,3.14,,,0.1,0.1,3.14,-3.14,0,0
link2_arm1,-0.207835302221215,-0.000992870986534361,0.0570377412581268,0,0,0,1.13036010199932,0.00142587127922893,-2.22161961679205E-05,-6.82089241798356E-06,0.0161880134214926,-5.42767939874179E-06,0.0175303272584084,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link2_arm1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link2_arm1.STL,,link1-1,XYZ2,z1,joint_2,revolute,0.381,0,0,0,0,0,link1_double8009,0,0,1,20,10.47,-3.14,3.14,,,0.1,0.1,3.14,-3.14,0,0
link3_sight,0.0106080099260002,-0.0536251640172988,0.0110704875938118,0,0,0,1.2559864019946,0.00105270273008462,1.91695652645116E-06,1.70978398702756E-06,0.000830969442918396,2.32834239073742E-05,0.00111734642942268,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link3_sight.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link3_sight.STL,,1-1,XYZ3,z2,joint_3,revolute,0.001,0,-0.0072,0,0,0,link2_arm1,0,0,-1,20,10.47,-3.14,3.14,,,0.1,0.1,3.14,-3.14,0,0
link4_arm2,-0.0471747665346021,0.116147879122617,-0.00314898868313319,0,0,0,0.406159969500003,0.00241397711452734,0.000109490600170552,-4.82806684016369E-08,0.000511634585525196,1.623199902946E-07,0.0029237195208925,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link4_arm2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link4_arm2.STL,,link2（肘子）-1,XYZ4,z3,joint_4,revolute,0,-0.418,0,0,0,0,link3_sight,0,-1,0,1.2,13.8,-3.14,3.14,,,0.1,0.1,3.14,-3.14,0,0
link5_4310pitch,0.014937604159931,0.00443879635181278,0.00729204017411378,0,0,0,0.145781968893561,2.16256229344629E-05,-9.21290789037721E-08,-6.09796295718445E-07,4.96762403887048E-05,-5.03475580930732E-10,5.55815572253116E-05,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link5_4310pitch.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link5_4310pitch.STL,,末端Pitch-1,XYZ5,z4,joint_5,revolute,0,0,0,1.5708,0,0,link4_arm2,0,1,0,7,10.47,-3.14,3.14,,,0.1,0.1,3.14,-3.14,0,0
link6_2006roll,-2.13232209667069E-14,9.2148511043888E-15,-0.0119546936603172,0,0,0,0.114376166812851,2.33675461159073E-05,-6.7699979460479E-14,3.15665242946433E-18,2.33675461861916E-05,2.66568657907093E-19,4.03700299739469E-05,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link6_2006roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://ARV_V1_MODEL/meshes/link6_2006roll.STL,,末端Roll-3,XYZ6_END,z5,joint_6,revolute,0,0,0.0518,0,0,-1.5708,link5_4310pitch,0,0,-1,1,10.47,-3.14,3.14,,,0.1,0.1,3.14,-3.14,0,0
